latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-4.85913,12.02428,316.22,1.29,1.13,5/9/2023,109,A,93,6.1NRT,289.53,19.36,N
-4.86077,12.03569,310.07,1.29,1.13,5/9/2023,109,A,79,6.1NRT,289.3,12.36,N
-4.88431,11.91096,302.53,1.27,1.12,5/9/2023,109,A,50,6.1NRT,284.84,5.51,N
-4.9214,11.3881,309.05,1.18,1.08,5/9/2023,109,A,64,6.1NRT,291.97,8,N
-5.37999,11.44501,307.09,1.21,1.09,5/9/2023,109,A,51,6.1NRT,292.91,6.73,N
-6.13872,11.03344,314.71,1.17,1.08,5/9/2023,109,A,86,6.1NRT,294.31,13.06,N
-7.23591,11.28448,312.79,1.24,1.11,5/9/2023,109,A,80,6.1NRT,295.22,11.57,N
-7.2375,11.29562,310.07,1.24,1.11,5/9/2023,109,A,69,6.1NRT,295.16,8.92,N
-7.84448,12.1159,312.27,1.43,1.18,5/9/2023,109,A,78,6.1NRT,294.41,12.76,N
-12.76554,49.53558,311.76,1.19,1.09,5/9/2023,631,T,52,6.1NRT,300.35,6.65,D
-15.84293,47.30204,329.62,1.47,1.2,5/9/2023,631,T,83,6.1NRT,300.43,35.89,D
-15.84518,47.31564,322.78,1.47,1.2,5/9/2023,631,T,76,6.1NRT,299.69,21.98,D
-17.01137,46.14993,315.07,1.69,1.28,5/9/2023,631,T,66,6.1NRT,299.49,14.49,D
-17.02691,45.70858,310.32,1.82,1.32,5/9/2023,631,T,52,6.1NRT,297.41,11.05,D
-17.05656,45.60018,311.61,1.86,1.33,5/9/2023,631,T,57,6.1NRT,296.74,14.84,D
-17.14184,45.88977,317.06,1.76,1.3,5/9/2023,631,T,70,6.1NRT,298.24,21.05,D
-17.15254,45.89869,310.72,1.76,1.3,5/9/2023,631,T,55,6.1NRT,298.35,10.41,D
-18.47946,45.35277,315.23,1.82,1.32,5/9/2023,631,T,70,6.1NRT,295.43,23.26,D
-18.96835,44.83897,309.02,1.94,1.36,5/9/2023,631,T,58,6.1NRT,295.36,11.26,D
-19.19702,45.08989,311.84,1.84,1.33,5/9/2023,631,T,60,6.1NRT,297.21,13.22,D
-19.52056,45.82196,311.94,1.61,1.25,5/9/2023,631,T,63,6.1NRT,296.74,11.36,D
-20.48512,46.26355,307.61,1.45,1.19,5/9/2023,633,T,46,6.1NRT,295.94,6.73,D
